year,state,state_cd,latitude,longitude,plan_type,tot_clms,tot_opioid_clms,opioid_prscrbng_rate,opioid_prscrbng_rate_1y_chg,opioid_prscrbng_rate_5y_chg,la_tot_opioid_clms,la_opioid_prscrbng_rate,la_opioid_prscrbng_rate_1y_chg,la_opioid_prscrbng_rat_5y_chg
2013,North Dakota,38,46.82085,-100.783318,FFS,588978,39906,6.78,,,3472,8.7,,
2013,Ohio,39,39.961346,-82.999069,FFS,7115478,415605,5.84,,,41728,10.04,,
2013,Oklahoma,40,35.492207,-97.503342,FFS,6076809,537393,8.84,,,33830,6.3,,
2013,Oregon,41,44.938461,-123.030403,FFS,1492760,43990,2.95,,,5743,13.06,,
2013,Pennsylvania,42,40.264378,-76.883598,FFS,2228509,114959,5.16,,,16417,14.28,,
2013,Rhode Island,44,41.830914,-71.414963,FFS,390197,13861,3.55,,,1815,13.09,,
2013,South Carolina,45,34.000343,-81.033211,FFS,2897842,179973,6.21,,,12884,7.16,,
2013,South Dakota,46,44.367031,-100.346405,FFS,694748,50847,7.32,,,4180,8.22,,
2013,Tennessee,47,36.16581,-86.784241,FFS,10620545,1021566,9.62,,,83242,8.15,,
2013,Texas,48,30.27467,-97.740349,FFS,5502979,150846,2.74,,,7772,5.15,,
2013,Utah,49,40.777477,-111.888237,FFS,1301043,81512,6.27,,,7827,9.6,,
2013,Vermont,50,44.262436,-72.580536,FFS,1335242,118134,8.85,,,16549,14.01,,
2013,Virginia,51,37.538857,-77.43364,FFS,2396396,115686,4.83,,,11931,10.31,,
2013,Washington,53,47.035805,-122.905014,FFS,2395203,188293,7.86,,,23405,12.43,,
2013,West Virginia,54,38.336246,-81.612328,FFS,4721906,329579,6.98,,,20429,6.2,,
2013,Wisconsin,55,43.074684,-89.384445,FFS,10127535,896650,8.85,,,119908,13.37,,
2013,Wyoming,56,41.140259,-104.820236,FFS,529696,41202,7.78,,,4230,10.27,,
