year,state,state_cd,latitude,longitude,plan_type,tot_clms,tot_opioid_clms,opioid_prscrbng_rate,opioid_prscrbng_rate_1y_chg,opioid_prscrbng_rate_5y_chg,la_tot_opioid_clms,la_opioid_prscrbng_rate,la_opioid_prscrbng_rate_1y_chg,la_opioid_prscrbng_rat_5y_chg
2020,Wyoming,56,41.140259,-104.820236,All,413935,17853,4.31,-0.12,-3.01,2107,11.8,0.95,2.1
2019,Alabama,1,32.377716,-86.300568,All,7230251,224310,3.1,-1.08,-3.23,10308,4.6,0.48,0.16
2019,Alaska,2,58.301598,-134.420212,All,1434139,65394,4.56,-1.2,-3.33,8268,12.64,-0.71,0.88
2019,Arizona,4,33.448143,-112.096962,All,14923326,595206,3.99,-0.75,-5.14,44311,7.44,-0.52,-2.79
2019,Arkansas,5,34.746613,-92.288986,All,4999626,216081,4.32,-0.88,-3.12,8129,3.76,-1.05,-0.34
2019,California,6,38.576668,-121.493629,All,86344996,2760295,3.2,-0.58,-3.12,173985,6.3,-0.18,-0.07
2019,Colorado,8,39.739227,-104.984856,All,7572735,419272,5.54,-1.14,-5.56,38808,9.26,0.01,1.03
2019,Connecticut,9,41.764046,-72.682198,All,9252048,294479,3.18,-0.34,-3.56,22998,7.81,0.81,-1.7
2019,Delaware,10,39.157307,-75.519722,All,2786630,90208,3.24,-0.9,-4.65,14353,15.91,-0.72,-0.96
2019,District of Columbia,11,38.89511,-77.03637,All,2132877,59206,2.78,-0.57,-2.33,2366,4,-0.23,-1.26
2019,Florida,12,30.438118,-84.281296,All,26651687,690384,2.59,-0.58,-2.91,49310,7.14,0.08,-1.22
2019,Georgia,13,33.749027,-84.388229,All,15438201,596582,3.86,-0.53,-2.8,35192,5.9,-0.08,0.93
2019,Hawaii,15,21.307442,-157.857376,All,2204680,86115,3.91,-0.68,-3.48,7898,9.17,-1.25,-1.71
2019,Idaho,16,43.617775,-116.199722,All,2322973,84108,3.62,-0.49,-4.25,6667,7.93,-0.57,-1.33
